timestamp,roll,pitch,yaw
1511883645390374,0.985658,0.817036,-0.185095
1511883645410929,0.940036,0.834396,-0.244603
1511883645433991,0.891765,0.846869,-0.305763
1511883645450034,0.838453,0.85153,-0.368911
1511883645471090,0.780483,0.844479,-0.432477
1511883645493652,0.72129,0.830146,-0.494231
1511883645510199,0.663261,0.808936,-0.554558
1511883645531255,0.609463,0.781957,-0.610811
1511883645553314,0.5582,0.749682,-0.662486
1511883645570359,0.509854,0.711972,-0.708171
1511883645591415,0.467182,0.669605,-0.745961
1511883645613006,0.430015,0.623571,-0.775785
1511883645630051,0.394692,0.576135,-0.798544
1511883645651107,0.359217,0.527483,-0.815252
1511883645681187,0.324192,0.478729,-0.825069
1511883645690214,0.287263,0.430236,-0.82817
1511883645710770,0.25099,0.381233,-0.823838
1511883645733831,0.220717,0.331066,-0.8122
1511883645749875,0.198877,0.28073,-0.793801
1511883645770931,0.176131,0.233673,-0.771701
1511883645803519,0.149088,0.192113,-0.747945
1511883645825609,0.123898,0.152487,-0.719191
1511883645847666,0.100124,0.112773,-0.682626
1511883645854686,0.0755763,0.0736419,-0.641379
1511883645877756,0.0531354,0.0381567,-0.599616
1511883645900555,0.0391827,0.00640993,-0.558488
1511883645931693,0.0289961,-0.0217473,-0.517746
1511883645932691,0.0178113,-0.047938,-0.476875
1511883645960768,0.00683257,-0.0724022,-0.437232
1511883645982840,-0.000957768,-0.0931663,-0.402025
1511883646005516,-0.00143405,-0.111512,-0.373388
1511883646027707,-0.00400595,-0.125494,-0.349753
1511883646034730,-0.0101681,-0.136693,-0.330446
1511883646057878,-0.0166677,-0.145949,-0.317028
1511883646079845,-0.0217904,-0.151832,-0.310597
1511883646109589,-0.0254628,-0.154626,-0.310307
1511883646133655,-0.0264257,-0.156908,-0.315825
1511883646134654,-0.024655,-0.159266,-0.327366
1511883646161728,-0.0191947,-0.162473,-0.344079
1511883646185792,-0.0102991,-0.166956,-0.365631
1511883646207892,0.000741803,-0.172832,-0.392854
1511883646213897,0.0136746,-0.179532,-0.426808
1511883646237964,0.0265458,-0.183712,-0.466979
1511883646260020,0.040823,-0.188185,-0.515054
1511883646289097,0.0550087,-0.191666,-0.570994
1511883646314169,0.0674449,-0.19358,-0.634167
1511883646315172,0.0754512,-0.194077,-0.703354
1511883646335251,0.0773316,-0.194238,-0.775864
1511883646351267,0.0738354,-0.194437,-0.850072
1511883646373326,0.0661915,-0.195611,-0.923075
